spi_rank,continent,country,spi_score,basic_human_needs,wellbeing,opportunity,basic_nutri_med_care,water_sanitation,shelter,personal_safety,access_basic_knowledge,access_info_comm,health_wellness,env_quality,personal_rights,personal_freedom_choice,inclusiveness,access_adv_edu
42,Europe,Hungary,78.21,88.12,75.94,70.59,93.44,93.51,89.3,76.23,91.28,79.36,62.84,70.26,82.69,78.26,57.71,63.69
43,Europe,Romania,76.89,86.7,74.78,69.2,93.62,87.77,90.71,74.71,85.92,87.67,58.78,66.76,85.22,71.27,54.69,65.62
44,Europe,Bulgaria,76.81,85.7,72.3,72.44,93.01,88.68,89.22,71.88,86.38,85.34,55.66,61.83,86.87,73.51,61.76,67.63
45,Europe,Serbia,75.8,85.83,74.08,67.48,93.74,87.96,87.92,73.71,92.41,81.01,61.82,61.08,79.81,67.36,54.31,68.46
46,North America,Trinidad and Tobago,75.58,81.88,74.77,70.08,86.57,87.27,89.69,64,91.38,79.92,62.58,65.21,89,67.49,68.46,55.35
47,Africa,Mauritius,75.44,85.83,75.58,64.91,86.22,94.64,90.27,72.17,88.65,79.22,67.91,66.54,82.71,69.89,57.83,49.19
48,Asia,Armenia,74.78,86.97,72.18,65.19,93.79,88.67,90.88,74.52,90.33,84.92,59.18,54.28,83,63.68,53.25,60.81
49,Europe,Montenegro,74.64,86.37,71.85,65.69,96.52,90.91,85.25,72.78,93.77,77.21,62.01,54.42,83.36,63.06,51.83,64.52
50,Europe,Georgia,74.43,85.17,72.88,65.25,88.76,89.16,89.31,73.46,94.85,80.49,56.35,59.82,78.26,61.36,52.98,68.39
51,Europe,Moldova,74.19,83.13,71.98,67.46,90.02,81.34,91.57,69.59,94.82,80.73,57.12,55.27,88.51,62.8,57.97,60.57
52,Europe,Ukraine,74.17,80.47,73.23,68.82,89.3,82.65,89.81,60.12,92.64,84.84,50.99,64.46,75.75,70.56,57.06,71.9
53,Europe,Albania,74.12,84.56,76.43,61.36,92.15,81.03,89.84,75.22,92.63,79.95,68.5,64.64,82.8,52.59,53.29,56.74
54,Asia,Malaysia,74.08,85.2,77.44,59.58,87.53,93.53,91.98,67.78,89.85,86.61,70.14,63.15,64.47,70.79,44.98,58.11
55,Asia,Kuwait,74.06,87.36,77.3,57.51,95.14,93.75,89.59,70.94,83.71,92.78,81.22,51.51,64.58,66.6,38.33,60.55
56,North America,Panama,74.02,82.87,73.11,66.09,85.11,86.34,92.28,67.75,80.76,75.42,67.28,68.99,88.97,63.36,54.67,57.35
57,North America,Jamaica,73.48,81.22,71.38,67.85,88.56,81.79,85.69,68.83,87,71.71,61.96,64.86,88.26,69.27,62.29,51.56
58,Europe,Macedonia,72.74,86.12,68.79,63.3,95.61,87.99,86.95,73.94,77.64,83.45,58.88,55.18,79.07,64.79,51.78,57.57
59,Europe/Asia,Russia,71.99,80.72,75.69,59.55,90.88,86.76,87.35,57.9,93.27,82.75,55.86,70.89,53.96,71,36.2,77.05
60,South America,Ecuador,71.75,80.13,71.03,64.09,85.12,89.94,88.41,57.06,81.41,76.09,60.78,65.84,85.39,62.83,49.86,58.28
61,Europe,Belarus,71.49,84.6,74.8,55.06,94.73,89.14,91.35,63.19,96.21,77.97,59.41,65.61,30.2,75.92,50.6,63.51
62,South America,Brazil,71.26,80.19,72.95,60.63,89.36,87.99,86.88,56.54,77.17,88.2,57.04,69.4,77.47,67.16,41.81,56.08
63,Europe,Bosnia and Herz.,71.23,85.23,69.04,59.44,94.13,91.1,80.65,75.04,85.45,77.96,60.51,52.23,73.66,60.22,48.8,55.06
64,South America,Suriname,71.22,81.73,67.56,64.36,84.86,88.25,88.37,65.44,79.72,70.33,61.56,58.65,90.73,70.25,55.84,40.64
65,Asia,Kazakhstan,71.21,84.49,72.99,56.15,92.87,88.2,91.31,65.57,90.85,83.7,55.81,61.61,55.77,72,35.93,60.89
66,North America,Mexico,70.84,80.62,70.08,61.83,88.52,89.36,86.06,58.53,79.95,83.87,57.79,58.71,75.71,65.47,48.7,57.43
67,South America,Peru,70.7,79.16,71.47,61.48,85.49,83.47,84.46,63.21,77.96,80.53,62.58,64.79,82.86,58.58,43.11,61.37
68,Asia,United Arab Emirates,70.7,87.17,72.98,51.93,92.28,96.69,96.53,63.18,90.6,85.87,65.08,50.38,41.59,69.6,35.17,61.37
69,Africa,South Africa,69.95,71.29,69,69.56,75.85,75.88,83.06,50.37,78.29,83.42,55.64,58.66,89.88,70.68,61.61,56.09
70,South America,Colombia,69.83,79.47,74.05,55.96,87.74,91.57,87.7,50.88,77.46,85.17,67.35,66.22,66.03,61.91,38.84,57.06
71,Asia,Thailand,69.8,81.63,75.5,52.28,87.85,88.55,93.15,56.96,78.24,81.63,74.02,68.1,45.15,62.07,47.97,53.93
72,Africa,Tunisia,69.77,80.34,66.43,62.54,93.37,77.54,85.02,65.43,73.22,82.15,60.88,49.48,77.19,69.21,48.56,55.2
73,North America,Dominican Rep.,69.76,79.84,68.15,61.31,86.6,87.28,87.72,57.75,74.31,80.72,57.28,60.28,85.73,57.41,49.17,52.92
